date,author,topic,content,stem,label
17.12.2019 15:43,zorla yazar yaptiniz beni,ali babacan,"''malum şahıstan bir puan bile alsa, muhalefet bloğuna hizmet etmiş ve kurulmasına katkı verdiği yapının yıkılarak seküler, bilime ve hukuka dayanan bir yönetimin kurulmasına önayak olacaktır. '' denilmiş. malum şahıs islamcı kimliğiyle icraatlariyla sekülerliğe hizmet ediyor zaten. onun sayesinde deist ateist olan bir sürü insan var. bebecan bu gidişi durdurmak için piyasaya sürüldü.",şahıs bir puan bil al muhalefet blok hizmet et ve kurulma katkı verdik yap yıkılarak sekü bil ve hukuk dayana bir yönet kurulma önayak olacak denil mas şahıs islamcı kimlik icraat sekülerlik hizmet ediyor zate o saye deist ateist ola bir sür in var heyeca bu gidiş durdurmak iç piyasa sürül,0
17.12.2019 17:35,pabloescobaran,ali babacan,"benim gibi müslüman olmayan bir liberteryen için dini inancının hiç bir önemi olmayan, partisinin tüzüğüne göre gidip üye olmayı bile düşünüyorum. ailem de oldukça chp li var, onların da akp den bir farkı yok, parti içi kuyu kazmaları duysanız keşke. mevcut partiler ne yaparsa yapsın bu düzenden çıkamıyor, ali babacan ın adil ve vicdanlı bir hiyerarşi ile hareket edeceğini ""umuyorum""",be gip müslüma olmaya bir liberterye iç t inancı hiç bir öne olmaya parti tüzük gör gidip ü olma bil düşünüyor aile dek oldukça chp lig var on ya akp sen bir farkı yok parti iç ku kazma du keşke mevcut parti ne yapar yap bu düze çıkamıyor alt babaca ın adil ve vicdanlı bir hiyerarşi il hareket edecek umuyor,2
26.12.2019 21:30,doksanlar cocugu,ali babacan,"gelecek siyasi dönemlerde önemli bir figür olacak kişi. ancak iktidara gelebilir mi kısa vadede olacağını düşünmüyorum. bu biraz dünyadaki ve türkiye'deki siyasi iklime bağlı. şu anda popülizm ve milliyetçilik daha ön planda. dünyadaki gidişat da o yönde. liberal politikaları savunan, idealist yaklaşan ve daha sakin liderler iktidarı kaybetmeseler bile güçlerini kaybetmeye başladılar veyahut da dönüşüm geçirerek daha sert politikalara yöneldiler (örneğin macron). gelelim şirin payzın ile t24 röportajına. söylediği şeylere aklı başında ve fanatik olmayan hiçbir insanın karşı çıkacağını sanmıyorum. gayet makul gayet akılcı ve sakin konuşuyor. ancak pek çok kritik soruda top çevirdi veya taca attı. fikirlerini ifade ederken aman bir pot kırmayayım aman polemiğe girmeyeyim düşüncesi sürekli arka planda yer alıyor. daha direkt daha köşeli konuşması lazım. mesela şunu bile diyemedi: arkadaş gördünüz ben varken ekonomi ne haldeydi ben yokum ne halde. sırf kabinede adım yok diye doların arttığı bile oldu. bu krizden ülkeyi çıkarsam çıkarsam ben çıkarırım. daha pozitif olayım derken pasif bir görüntü sergiliyor. bir değişim yaratmak için toplumu heyecanlandırmak gerekiyor, tıpkı ekrem imamoğlu'nun yaptığı gibi. sanki kendisi kitleleri peşinden sürükleyecek gibi değil de kitlenin onun elinden tutup hadi bizi sürükle demesini bekliyor gibi. teknokrat imajından kurtulup ülkeyi yeniden ayağa kaldırabilecek lider imajına bürünmesi şart oğlu şart.",gelecek siyas dönem önemli bir figür olacak kiş ancak iktidar gelebilir ki kıs vade olacak düşünmüyor bu biraz dünya ve türki siyas ikl bağlı şu an popülizm ve milliyetçilik dah ön pla dünya gidişat ya o yö libera politika savuna idealist yaklaşa ve dah sak lider iktidar kaybet bil güç kaybetme başladı veyahut ya dönüş geçirerek dah sert politika yönel örnek macro gelel şir payz il tüm röportaj söyledik şey aklı baş ve fanatik olmaya hiçbir insa karşı çıkacak sanmıyor gayet makul gayet akılcı ve sak konuşuyor ancak pek çok kritik soru top çevir veya taç at fikir ifa eder ama bir ptt kırmayal ama polemik girme düşünces sürekli arka pla yer alıyor dah direkt dah köşel konuşmas laz mesela ş bil diyemedi arkadaş gör ben var ekono ne halde ben yok ne halde sırf kabine ad yok di do arttık bil ol bu kriz ülke çıkar çıkar ben çıkarır dah pozitif ol der pasif bir gör sergiliyor bir değiş yaratmak iç topl heyecanlandırmak gerekiyor tıpkı ekre imamoğlu yaptık gip sanki kendis kitle peş sürükleyecek gip değil dek kitle o el tutup hadi biz sürük deme bekliyor gip teknokrat imaj kurtulup ülke yeni ayak kaldırabilecek lider imaj bürünmes şart oğlu şart,1
27.12.2019 11:05,vanpancmen,ali babacan,"gün geçtikçe, ortam oluşsun diye vakit kaybettikçe sahip olabileceği potansiyeli hızla kaybeden siyasetçi.",gün geçtikçe orta oluş di vakit kaybettikçe sahip olabilecek potansiyel hız kaybe siyasetçi,1
28.12.2019 07:32,phd computer engineer,ali babacan,"ülkenin mevcut durumunda, chp ve iyi partinin payı akp den daha az olmadığı için şu anda en umut veren siyasetçidir",ülke mevcut durum chp ve i parti pa akp sen dah az olmadık iç şu an en umut vere siyasetçi,2
05.01.2020 09:12,sevgifakiri79,ali babacan,"asla yeni bir siyasi parti kurabileceğini düşünmediğim siyaset adamı, yalandan bir yokladı ve gitti",as ye bir siyas parti kurabilecek düşünmedik siyaset ada yala bir yokladı ve git,1
27.01.2020 17:14,aab,ali babacan,"bu başlıkta hayaller kuruyoruz beyler. yıllardır seçimlerde tokatlana tokatlana şamar oğlanına dönenler ""diktatör"" goygoyuna sarılmış yine. özal da diktatördü bunlara göre mendereste. neyse bu konulara pek girmeyeceğim, çünkü karşımızda yobaz bir kitle mevcut. ayıla bayıla naralar attığınız son seçim başarınızda(! ) bile cumhur ittifakı yüzde elinin üzerinde. mümkünse sizdeki kafadan istiyorum? dipnot: diktatör öpsün seni.",bu başlık hayaller kuruyor bey yıl seçim tokatla tokatla şamar oğlan dönen diktatör goygoy sarıl y özal ya diktatör bun gör menderes ne bu konu pek girmeyecek çünkü karş yobaz bir kit mevcut ayıl bayıl nara attık son seç başarınızda( bil cumhur ittifak yüz el üzer mümk siz kafa istiyor dipnot diktatör öl se,1
15.02.2020 16:09,spikecut,ali babacan,"başıma bir şey gelmeyecekse beğendiğim birinsan. kimle zamanında çalışmış umrumda değil. zeki, modern ve bilgili. odtü 4. 0 mezunu okul birincisi olması benim için ayrı önemli.",baş bir şey gelmeyecek beğendik bir k zaman çalış umr değil zek modern ve bilgil odtü mez okul birincis olmas be iç ayrı önemli,2
18.02.2020 11:34,auer,ali babacan,yaklaşıyor yaklaşmakta olan,yaklaşıyor yaklaşmak ola,2
18.02.2020 11:57,fikirmadeni,ali babacan,kabak tadı vermeye başladı.,kabak tadı verme başladı,0
